,label,text,text_clean,text_tokens,text_tokens_lemma,word_count,noun_count,verb_count,adj_count,adv_count,pron_count
40,ham,pls go ahead watt wanted sure great weekend abiola,pls go ahead watts wanted sure great weekend abiola,"['pls', 'go', 'ahead', 'watts', 'wanted', 'sure', 'great', 'weekend', 'abiola']","['pls', 'go', 'ahead', 'watt', 'wanted', 'sure', 'great', 'weekend', 'abiola']",78,3,1,3,2,0
41,ham,forget tell want need crave love sweet arabian steed mmmmmm yummy,forget tell want need crave love sweet arabian steed mmmmmm yummy,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']","['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']",99,4,5,2,0,0
42,spam,rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow,"['rodger', 'burns', 'msg', 'tried', 'call', 'reply', 'sms', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', 'delivery', 'tomorrow']","['rodger', 'burn', 'msg', 'tried', 'call', 'reply', 'sm', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', 'delivery', 'tomorrow']",147,8,3,5,0,0
43,ham,seeing,seeing,['seeing'],['seeing'],10,0,1,0,0,0
44,ham,great hope like man well endowed ltgt inch,great hope like man well endowed ltgt inches,"['great', 'hope', 'like', 'man', 'well', 'endowed', 'ltgt', 'inches']","['great', 'hope', 'like', 'man', 'well', 'endowed', 'ltgt', 'inch']",67,3,1,2,1,0
45,ham,callsmessagesmissed call,callsmessagesmissed calls,"['callsmessagesmissed', 'calls']","['callsmessagesmissed', 'call']",31,1,1,0,0,0
46,ham,didnt get hep b immunisation nigeria,didnt get hep b immunisation nigeria,"['didnt', 'get', 'hep', 'b', 'immunisation', 'nigeria']","['didnt', 'get', 'hep', 'b', 'immunisation', 'nigeria']",55,4,1,1,0,0
47,ham,fair enough anything going,fair enough anything going,"['fair', 'enough', 'anything', 'going']","['fair', 'enough', 'anything', 'going']",39,1,1,1,1,0
48,ham,yeah hopefully tyler cant could maybe ask around bit,yeah hopefully tyler cant could maybe ask around bit,"['yeah', 'hopefully', 'tyler', 'cant', 'could', 'maybe', 'ask', 'around', 'bit']","['yeah', 'hopefully', 'tyler', 'cant', 'could', 'maybe', 'ask', 'around', 'bit']",80,3,1,1,2,0
49,ham,dont know stubborn didnt even want go hospital kept telling mark weak sucker hospital weak sucker,dont know stubborn didnt even want go hospital kept telling mark weak sucker hospitals weak suckers,"['dont', 'know', 'stubborn', 'didnt', 'even', 'want', 'go', 'hospital', 'kept', 'telling', 'mark', 'weak', 'sucker', 'hospitals', 'weak', 'suckers']","['dont', 'know', 'stubborn', 'didnt', 'even', 'want', 'go', 'hospital', 'kept', 'telling', 'mark', 'weak', 'sucker', 'hospital', 'weak', 'sucker']",146,7,5,3,1,0
50,ham,thinked first time saw class,thinked first time saw class,"['thinked', 'first', 'time', 'saw', 'class']","['thinked', 'first', 'time', 'saw', 'class']",44,3,1,1,0,0
51,ham,gram usually run like ltgt half eighth smarter though get almost whole second gram ltgt,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt,"['gram', 'usually', 'runs', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'gets', 'almost', 'whole', 'second', 'gram', 'ltgt']","['gram', 'usually', 'run', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', 'ltgt']",133,7,1,3,2,0
52,ham,k fyi x ride early tomorrow morning he crashing place tonight,k fyi x ride early tomorrow morning hes crashing place tonight,"['k', 'fyi', 'x', 'ride', 'early', 'tomorrow', 'morning', 'hes', 'crashing', 'place', 'tonight']","['k', 'fyi', 'x', 'ride', 'early', 'tomorrow', 'morning', 'he', 'crashing', 'place', 'tonight']",95,7,2,1,0,1
53,ham,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry didnt dont give sorry offered sorry room embarassing,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry didnt dont give sorry offered sorry room embarassing,"['wow', 'never', 'realized', 'embarassed', 'accomodations', 'thought', 'liked', 'since', 'best', 'could', 'always', 'seemed', 'happy', 'cave', 'sorry', 'didnt', 'dont', 'give', 'sorry', 'offered', 'sorry', 'room', 'embarassing']","['wow', 'never', 'realized', 'embarassed', 'accomodations', 'thought', 'liked', 'since', 'best', 'could', 'always', 'seemed', 'happy', 'cave', 'sorry', 'didnt', 'dont', 'give', 'sorry', 'offered', 'sorry', 'room', 'embarassing']",228,8,7,4,2,0
54,spam,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,"['sms', 'ac', 'sptv', 'new', 'jersey', 'devils', 'detroit', 'red', 'wings', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'reply', 'end', 'sptv']","['sm', 'ac', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'reply', 'end', 'sptv']",152,12,3,3,0,0
55,ham,know mallika sherawat yesterday find lturlgt,know mallika sherawat yesterday find lturlgt,"['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lturlgt']","['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lturlgt']",63,3,2,0,0,0
56,spam,congrats year special cinema pas call c suprman v matrix starwars etc free bxipwe pm dont miss,congrats year special cinema pass call c suprman v matrix starwars etc free bxipwe pm dont miss,"['congrats', 'year', 'special', 'cinema', 'pass', 'call', 'c', 'suprman', 'v', 'matrix', 'starwars', 'etc', 'free', 'bxipwe', 'pm', 'dont', 'miss']","['congrats', 'year', 'special', 'cinema', 'pas', 'call', 'c', 'suprman', 'v', 'matrix', 'starwars', 'etc', 'free', 'bxipwe', 'pm', 'dont', 'miss']",146,14,1,2,0,0
57,ham,sorry call later meeting,sorry call later meeting,"['sorry', 'call', 'later', 'meeting']","['sorry', 'call', 'later', 'meeting']",37,3,0,0,1,0
58,ham,tell reached,tell reached,"['tell', 'reached']","['tell', 'reached']",19,1,1,0,0,0
59,ham,yesgauti sehwag odi series,yesgauti sehwag odi series,"['yesgauti', 'sehwag', 'odi', 'series']","['yesgauti', 'sehwag', 'odi', 'series']",39,4,0,0,0,0
60,ham,gon na pick burger way home cant even move pain killing,gonna pick burger way home cant even move pain killing,"['gon', 'na', 'pick', 'burger', 'way', 'home', 'cant', 'even', 'move', 'pain', 'killing']","['gon', 'na', 'pick', 'burger', 'way', 'home', 'cant', 'even', 'move', 'pain', 'killing']",89,6,2,1,1,0
61,ham,ha ha ha good joke girl situation seeker,ha ha ha good joke girls situation seekers,"['ha', 'ha', 'ha', 'good', 'joke', 'girls', 'situation', 'seekers']","['ha', 'ha', 'ha', 'good', 'joke', 'girl', 'situation', 'seeker']",65,7,0,1,0,0
62,ham,part checking iq,part checking iq,"['part', 'checking', 'iq']","['part', 'checking', 'iq']",26,2,1,0,0,0
63,ham,sorry roommate took forever come,sorry roommates took forever come,"['sorry', 'roommates', 'took', 'forever', 'come']","['sorry', 'roommate', 'took', 'forever', 'come']",48,1,2,1,1,0
64,ham,lar double check wif da hair dresser already wun cut v short cut look nice,lar double check wif da hair dresser already wun cut v short cut look nice,"['lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'wun', 'cut', 'v', 'short', 'cut', 'look', 'nice']","['lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'wun', 'cut', 'v', 'short', 'cut', 'look', 'nice']",120,9,0,5,1,0
65,spam,valued customer pleased advise following recent review mob awarded bonus prize call,valued customer pleased advise following recent review mob awarded bonus prize call,"['valued', 'customer', 'pleased', 'advise', 'following', 'recent', 'review', 'mob', 'awarded', 'bonus', 'prize', 'call']","['valued', 'customer', 'pleased', 'advise', 'following', 'recent', 'review', 'mob', 'awarded', 'bonus', 'prize', 'call']",120,7,3,2,0,0
66,ham,today song dedicated day song dedicate send valuable frnds first rply,today song dedicated day song dedicate send valuable frnds first rply,"['today', 'song', 'dedicated', 'day', 'song', 'dedicate', 'send', 'valuable', 'frnds', 'first', 'rply']","['today', 'song', 'dedicated', 'day', 'song', 'dedicate', 'send', 'valuable', 'frnds', 'first', 'rply']",103,7,2,1,1,0
67,spam,urgent awarded complimentary trip eurodisinc trav acoentry claim txt dis morefrmmob shracomorsglsuplt l aj,urgent awarded complimentary trip eurodisinc trav acoentry claim txt dis morefrmmob shracomorsglsuplt ls aj,"['urgent', 'awarded', 'complimentary', 'trip', 'eurodisinc', 'trav', 'acoentry', 'claim', 'txt', 'dis', 'morefrmmob', 'shracomorsglsuplt', 'ls', 'aj']","['urgent', 'awarded', 'complimentary', 'trip', 'eurodisinc', 'trav', 'acoentry', 'claim', 'txt', 'dis', 'morefrmmob', 'shracomorsglsuplt', 'l', 'aj']",149,11,1,2,0,0
68,spam,hear new divorce barbie come ken stuff,hear new divorce barbie comes kens stuff,"['hear', 'new', 'divorce', 'barbie', 'comes', 'kens', 'stuff']","['hear', 'new', 'divorce', 'barbie', 'come', 'ken', 'stuff']",60,3,2,2,0,0
69,ham,plane give month end,plane give month end,"['plane', 'give', 'month', 'end']","['plane', 'give', 'month', 'end']",33,3,1,0,0,0
70,ham,wah lucky man save money hee,wah lucky man save money hee,"['wah', 'lucky', 'man', 'save', 'money', 'hee']","['wah', 'lucky', 'man', 'save', 'money', 'hee']",47,4,1,1,0,0
71,ham,finished class,finished class,"['finished', 'class']","['finished', 'class']",21,1,1,0,0,0
72,ham,hi babe home wan na something xx,hi babe home wanna something xx,"['hi', 'babe', 'home', 'wan', 'na', 'something', 'xx']","['hi', 'babe', 'home', 'wan', 'na', 'something', 'xx']",54,6,0,0,0,0
73,ham,kkwhere youhow performed,kkwhere youhow performed,"['kkwhere', 'youhow', 'performed']","['kkwhere', 'youhow', 'performed']",34,1,2,0,0,0
74,ham,call,call,['call'],['call'],8,1,0,0,0,0
75,ham,waiting machan call free,waiting machan call free,"['waiting', 'machan', 'call', 'free']","['waiting', 'machan', 'call', 'free']",37,2,1,1,0,0
76,ham,thats cool gentleman treat dignity respect,thats cool gentleman treat dignity respect,"['thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']","['thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']",61,4,1,1,0,0
77,ham,like people much shy pa,like peoples much shy pa,"['like', 'peoples', 'much', 'shy', 'pa']","['like', 'people', 'much', 'shy', 'pa']",39,2,0,2,0,0
78,ham,operate ltgt,operate ltgt,"['operate', 'ltgt']","['operate', 'ltgt']",19,2,0,0,0,0
79,ham,still looking job much ta earn,still looking job much tas earn,"['still', 'looking', 'job', 'much', 'tas', 'earn']","['still', 'looking', 'job', 'much', 'ta', 'earn']",49,3,1,1,1,0
80,ham,sorry call later,sorry call later,"['sorry', 'call', 'later']","['sorry', 'call', 'later']",26,2,0,0,1,0
81,ham,k call ah,k call ah,"['k', 'call', 'ah']","['k', 'call', 'ah']",19,3,0,0,0,0
82,ham,way home hi hi,way home hi hi,"['way', 'home', 'hi', 'hi']","['way', 'home', 'hi', 'hi']",27,4,0,0,0,0
83,ham,place man,place man,"['place', 'man']","['place', 'man']",16,2,0,0,0,0
84,ham,yup next stop,yup next stop,"['yup', 'next', 'stop']","['yup', 'next', 'stop']",23,2,0,1,0,0
85,ham,call later dont network urgnt sm,call later dont network urgnt sms,"['call', 'later', 'dont', 'network', 'urgnt', 'sms']","['call', 'later', 'dont', 'network', 'urgnt', 'sm']",51,3,0,2,1,0
86,ham,real getting yo need ticket one jacket done already used multis,real getting yo need tickets one jacket done already used multis,"['real', 'getting', 'yo', 'need', 'tickets', 'one', 'jacket', 'done', 'already', 'used', 'multis']","['real', 'getting', 'yo', 'need', 'ticket', 'one', 'jacket', 'done', 'already', 'used', 'multis']",97,3,4,1,2,0
87,ham,yes started send request make pain came back back bed double coin factory got ta cash nitros,yes started send requests make pain came back back bed double coins factory gotta cash nitros,"['yes', 'started', 'send', 'requests', 'make', 'pain', 'came', 'back', 'back', 'bed', 'double', 'coins', 'factory', 'got', 'ta', 'cash', 'nitros']","['yes', 'started', 'send', 'request', 'make', 'pain', 'came', 'back', 'back', 'bed', 'double', 'coin', 'factory', 'got', 'ta', 'cash', 'nitros']",144,8,4,2,3,0
88,ham,really still tonight babe,really still tonight babe,"['really', 'still', 'tonight', 'babe']","['really', 'still', 'tonight', 'babe']",38,1,0,1,2,0
89,ham,ela kanoil download come wen free,ela kanoil download come wen free,"['ela', 'kanoil', 'download', 'come', 'wen', 'free']","['ela', 'kanoil', 'download', 'come', 'wen', 'free']",52,3,1,2,0,0
90,ham,yeah dont stand close tho youll catch something,yeah dont stand close tho youll catch something,"['yeah', 'dont', 'stand', 'close', 'tho', 'youll', 'catch', 'something']","['yeah', 'dont', 'stand', 'close', 'tho', 'youll', 'catch', 'something']",72,3,2,2,1,0
91,ham,sorry pain meet another night spent late afternoon casualty mean havent done stuffmoro includes time sheet sorry,sorry pain meet another night spent late afternoon casualty means havent done stuffmoro includes time sheets sorry,"['sorry', 'pain', 'meet', 'another', 'night', 'spent', 'late', 'afternoon', 'casualty', 'means', 'havent', 'done', 'stuffmoro', 'includes', 'time', 'sheets', 'sorry']","['sorry', 'pain', 'meet', 'another', 'night', 'spent', 'late', 'afternoon', 'casualty', 'mean', 'havent', 'done', 'stuffmoro', 'includes', 'time', 'sheet', 'sorry']",164,11,3,2,0,0
92,ham,smile pleasure smile pain smile trouble pours like rain smile sum hurt smile becoz someone still love see smiling,smile pleasure smile pain smile trouble pours like rain smile sum hurts smile becoz someone still loves see smiling,"['smile', 'pleasure', 'smile', 'pain', 'smile', 'trouble', 'pours', 'like', 'rain', 'smile', 'sum', 'hurts', 'smile', 'becoz', 'someone', 'still', 'loves', 'see', 'smiling']","['smile', 'pleasure', 'smile', 'pain', 'smile', 'trouble', 'pours', 'like', 'rain', 'smile', 'sum', 'hurt', 'smile', 'becoz', 'someone', 'still', 'love', 'see', 'smiling']",171,12,3,2,1,0
93,spam,please call customer service representative ampm guaranteed cash prize,please call customer service representative ampm guaranteed cash prize,"['please', 'call', 'customer', 'service', 'representative', 'ampm', 'guaranteed', 'cash', 'prize']","['please', 'call', 'customer', 'service', 'representative', 'ampm', 'guaranteed', 'cash', 'prize']",98,5,3,1,0,0
94,ham,havent planning buy later check already lido got show e afternoon finish work already,havent planning buy later check already lido got show e afternoon finish work already,"['havent', 'planning', 'buy', 'later', 'check', 'already', 'lido', 'got', 'show', 'e', 'afternoon', 'finish', 'work', 'already']","['havent', 'planning', 'buy', 'later', 'check', 'already', 'lido', 'got', 'show', 'e', 'afternoon', 'finish', 'work', 'already']",128,4,3,4,3,0
